+00000	+21436	+21327	+21344	+21351	+21337	+21288	+21352	+21358	+00024	
+00001	+21434	+21327	+21344	+21351	+21336	+21290	+21352	+21357	+00024	
+00002	+21435	+21326	+21346	+21353	+21335	+21288	+21352	+21357	+00024	
+00003	+21435	+21326	+21344	+21353	+21338	+21287	+21351	+21356	+00024	
+00004	+21435	+21327	+21345	+21351	+21336	+21291	+21352	+21358	+00024	
+00005	+21437	+21326	+21344	+21351	+21337	+21289	+21353	+21357	+00024	
+00006	+21435	+21328	+21345	+21352	+21335	+21289	+21353	+21358	+00024	
+00007	+21434	+21325	+21345	+21351	+21336	+21289	+21352	+21357	+00024	
+00008	+21435	+21326	+21342	+21350	+21337	+21289	+21352	+21357	+00024	
+00009	+21435	+21328	+21345	+21353	+21337	+21291	+21352	+21358	+00024	
+00010	+21436	+21327	+21346	+21351	+21337	+21288	+21352	+21358	+00024	
+00011	+21436	+21327	+21345	+21352	+21338	+21290	+21352	+21357	+00024	
+00012	+21433	+21327	+21344	+21350	+21337	+21289	+21352	+21357	+00024	
+00013	+21435	+21327	+21344	+21352	+21337	+21291	+21352	+21358	+00024	
+00014	+21435	+21325	+21344	+21351	+21336	+21289	+21350	+21357	+00024	
+00015	+21437	+21327	+21345	+21351	+21336	+21291	+21353	+21357	+00024	
+00016	+21435	+21324	+21344	+21352	+21336	+21288	+21351	+21356	+00024	
+00017	+21435	+21327	+21345	+21351	+21337	+21289	+21352	+21358	+00024	
+00018	+21434	+21328	+21346	+21352	+21336	+21289	+21350	+21358	+00024	
+00019	+21435	+21328	+21344	+21351	+21336	+21289	+21350	+21357	+00024	
+00020	+21436	+21326	+21345	+21353	+21337	+21290	+21351	+21359	+00024	
+00021	+21436	+21326	+21344	+21351	+21335	+21289	+21350	+21358	+00024	
+00022	+21436	+21328	+21344	+21351	+21336	+21290	+21352	+21358	+00024	
+00023	+21434	+21327	+21344	+21351	+21336	+21289	+21351	+21356	+00024	
+00024	+21436	+21328	+21344	+21353	+21338	+21291	+21353	+21357	+00024	
+00025	+21435	+21327	+21344	+21351	+21336	+21289	+21352	+21357	+00024	
+00026	+21435	+21329	+21345	+21352	+21337	+21290	+21354	+21358	+00024	
+00027	+21436	+21328	+21345	+21352	+21336	+21290	+21352	+21358	+00024	
+00028	+21435	+21326	+21345	+21353	+21337	+21289	+21351	+21358	+00024	
+00029	+21435	+21328	+21346	+21353	+21336	+21291	+21351	+21356	+00024	
+00030	+21436	+21326	+21343	+21352	+21336	+21288	+21350	+21358	+00024	
+00031	+21436	+21327	+21344	+21353	+21337	+21290	+21352	+21358	+00024	
+00032	+21435	+21327	+21342	+21350	+21336	+21289	+21350	+21356	+00024	
+00033	+21435	+21327	+21346	+21352	+21339	+21291	+21351	+21358	+00025	
+00034	+21434	+21326	+21344	+21350	+21335	+21288	+21352	+21356	+00024	
+00035	+21436	+21327	+21345	+21352	+21338	+21290	+21352	+21360	+00024	
+00036	+21434	+21327	+21344	+21350	+21337	+21289	+21351	+21358	+00024	
